ym,ret_excess_mensuel,RF_mensuel,RV2_courant,RV2_retarde,poids_sans_cap,poids_cap,rendement_vm_sans_cap,rendement_vm_cap
1928-02-01,-0.019510263585740484,0.0019017109693872936,0.0007917429439671269,0.0011692638969835155,0.9995175306868626,0.9995175306868626,-0.01950085048226914,-0.01950085048226914
1928-03-01,0.11459098143511315,0.00220231154073125,0.0016007449912674187,0.0007917429439671269,1.4761101086399904,1.4761101086399904,0.169148906055348,0.169148906055348
1928-04-01,0.02233311331352139,0.0020019011404841525,0.0018777712590373203,0.0016007449912674187,0.7300974042773186,0.7300974042773186,0.016305348059633195,0.016305348059633195
1928-05-01,0.010433875815325289,0.00220231154073125,0.0022278881371217106,0.0018777712590373203,0.6223866498166664,0.6223866498166664,0.006493905013303445,0.006493905013303445
1928-06-01,-0.04501212062620641,0.002102101330598183,0.0041645416039080944,0.0022278881371217106,0.524577398461373,0.524577398461373,-0.023612341137324865,-0.023612341137324865
1928-07-01,0.013023310593468285,0.002102101330598183,0.0017318281965404193,0.0041645416039080944,0.2806310692003962,0.2806310692003962,0.003654745576373851,0.003654745576373851
1928-08-01,0.07165206584927697,0.002302531771885219,0.0014601075264130544,0.0017318281965404193,0.6748358557557329,0.6748358557557329,0.04835338317406295,0.04835338317406295
1928-09-01,0.011015579201597347,0.0019017109693872936,0.000619967160110839,0.0014601075264130544,0.8004203402096869,0.8004203402096869,0.0088170936521493,0.0088170936521493
1928-10-01,0.02104614908436364,0.004409252331712299,0.0010614657592763754,0.000619967160110839,1.8850994669222785,1.5,0.039674084419700696,0.03156922362654546
1928-11-01,0.115480107228777,0.004007609127756773,0.0015636052765451013,0.0010614657592763754,1.101024458698498,1.101024458698498,0.1271464225520087,0.1271464225520087
1928-12-01,0.0028830186509307687,0.0,0.0038822641015614856,0.0015636052765451013,0.7474391271028376,0.7474391271028376,0.002154880943872894,0.002154880943872894
1929-01-01,0.05476675564948641,0.00220231154073125,0.0022361081375411396,0.0038822641015614856,0.3010356154194143,0.3010356154194143,0.016486743991467826,0.016486743991467826
